EndType,NewApp,Last,Office,Month,County,Year,Day,First,Date,EndDate,Duration,AppointingPresident,AppointingPresidentIndex,AppointingPG,AppointingPGIndex,DismissingPresident,DismissingPresidentIndex,DismissingPG,DismissingPGIndex,AppCongressionalElection,AppPresidentialElection,DisCongressionalElection,DisPresidentialElection
0,0,Wylie,BLACKFOOT,12,Anderson,1889,28,T. F.,1889-12-28,1890-03-26,88,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,84.1,1,84.1,1
0,0,Colvin,BLACKFOOT,3,Anderson,1890,26,Harriet L. V.,1890-03-26,1897-10-04,2749,Harrison,15,John Wanamaker,34,McKinley,17,James A. Gary,37,84.1,1,59.5,0.5818965
0,0,Jenkins,BLACKFOOT,10,Anderson,1897,4,Wiley H.,1897-10-04,1899-11-17,774,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,59.5,0.5818965
0,1,Bradford,BRADFORD,5,Anderson,1882,26,Pond L.,1882-05-26,1897-07-30,5544,Arthur,13,Timothy O. Howe,29,McKinley,17,James A. Gary,37,99.5,0.575,59.5,0.5818965
1,0,Scarborough,BRADFORD,7,Anderson,1897,30,Anna,1897-07-30,10/31/07,3744,McKinley,17,James A. Gary,37,Roosevelt2,20,George von L. Meyer,42,,,59.5,0.5818965
0,0,Goolsby,BRUSHY CREEK,2,Anderson,1882,3,J. A.,1882-02-03,1883-04-25,446,Arthur,13,Timothy O. Howe,29,Arthur,13,Walter Q. Gresham,30,99.5,0.575,100,0.575
0,0,Alexander,BRUSHY CREEK,4,Anderson,1883,25,Chris. L.,1883-04-25,1886-04-15,1086,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,William F. Vilas,32,100,0.575,69.3,0.547
0,0,Cely,BRUSHY CREEK,4,Anderson,1886,15,John F.,1886-04-15,1897-09-23,4179,Cleveland1,14,William F. Vilas,32,McKinley,17,James A. Gary,37,69.3,0.547,59.5,0.5818965
0,0,Coker,BRUSHY CREEK,9,Anderson,1897,23,Robt.,1897-09-23,1897-11-24,62,McKinley,17,James A. Gary,37,McKinley,17,James A. Gary,37,,,59.5,0.5818965
0,0,McDonald,BRUSHY CREEK,11,Anderson,1897,24,Albert H.,1897-11-24,1898-03-15,111,McKinley,17,James A. Gary,37,McKinley,17,James A. Gary,37,,,59.5,0.5818965
0,0,Patterson,BRUSHY CREEK,3,Anderson,1898,15,John W.,1898-03-15,1899-05-18,429,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,59.5,0.5818965
0,1,Davenport,CAYUGA,5,Anderson,1894,7,Wm. A.,1894-05-07,1897-07-29,1179,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,57,0.6693767,59.5,0.5818965
0,0,Cornwell,CAYUGA,7,Anderson,1897,29,Cora L.,1897-07-29,1903-08-03,2195,McKinley,17,James A. Gary,37,Roosevelt1,19,Henry C. Payne,39,,,59.5,0.5818965
0,1,Wortham,DENSON SPRING,12,Anderson,1893,28,John W.,1893-12-28,6/27/10,6024,Cleveland2,16,Wilson S. Bissell,35,Taft,21,Frank H. Hitchcock,43,57,0.6693767,59.5,0.5818965
0,0,Harris,ELKHART,7,Anderson,1878,22,Thos. J.,1878-07-22,1879-12-16,512,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,,0.538,,0.538
0,0,Bryan,ELKHART,12,Anderson,1879,16,Jas. W.,1879-12-16,1899-01-19,6974,Hayes,11,David M. Key,26,McKinley,17,Charles Emory Smith,38,,0.538,59.5,0.5818965
0,1,Harding,FITZGERALD,2,Anderson,1888,20,Wm. H.,1888-02-20,1889-07-15,511,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,68.8,0.547,84.1,1
1,0,Kelley,FITZGERALD,7,Anderson,1889,15,Cornelius D.,1889-07-15,6/30/05,5828,Harrison,15,John Wanamaker,34,Roosevelt2,20,George B. Cortelyou,41,84.1,1,59.5,0.5818965
0,0,Dickerson,FOSTERVILLE,8,Anderson,1880,31,W. R.,1880-08-31,1880-11-09,70,Hayes,11,Horace Maynard,27,Hayes,11,Horace Maynard,27,,0.538,99.5,0.575
0,0,Doughty,FOSTERVILLE,11,Anderson,1880,9,Felix F.,1880-11-09,1881-08-17,281,Hayes,11,Horace Maynard,27,Garfield,12,Thomas L. James,28,99.5,0.575,99.5,0.575
0,0,Neely,FOSTERVILLE,8,Anderson,1881,17,J. C.,1881-08-17,1881-10-13,57,Garfield,12,Thomas L. James,28,Arthur,13,Thomas L. James,28,99.5,0.575,99.5,0.575
0,0,Milner,FOSTERVILLE,10,Anderson,1881,13,T. F.,1881-10-13,1883-01-29,473,Arthur,13,Thomas L. James,28,Arthur,13,Timothy O. Howe,29,99.5,0.575,100,0.575
0,0,Welborn,FOSTERVILLE,1,Anderson,1883,29,Wm. P.,1883-01-29,1885-11-25,1031,Arthur,13,Timothy O. Howe,29,Cleveland1,14,William F. Vilas,32,100,0.575,69.3,0.547
0,0,Emerson,FOSTERVILLE,11,Anderson,1885,25,Jas. M.,1885-11-25,2/25/05,7031,Cleveland1,14,William F. Vilas,32,Roosevelt1,19,Robert J. Wynne,40,69.3,0.547,59.5,0.5818965
0,1,Garner,GOODSONVILLE,4,Anderson,1888,23,Geo. A.,1888-04-23,1889-02-01,284,Cleveland1,14,Donald M. Dickinson,33,Cleveland1,14,Donald M. Dickinson,33,68.8,0.547,84.1,1
0,0,Goodson,GOODSONVILLE,2,Anderson,1889,1,Jacob,1889-02-01,1893-12-14,1777,Cleveland1,14,Donald M. Dickinson,33,Cleveland2,16,Wilson S. Bissell,35,84.1,1,57,0.6693767
0,0,Heidleburg,GOODSONVILLE,12,Anderson,1893,14,Paul B.,1893-12-14,1901-11-16,2893,Cleveland2,16,Wilson S. Bissell,35,Roosevelt1,19,Charles Emory Smith,38,57,0.6693767,59.5,0.5818965
1,1,Herrington,HANKS,5,Anderson,1894,21,Elijah,1894-05-21,1894-08-14,85,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,57,0.6693767,57,0.6693767
0,0,Howe,IONI,5,Anderson,1878,6,D.,1878-05-06,1878-05-24,18,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,,0.538,,0.538
0,0,Campbell,IONI,5,Anderson,1878,24,Wm. H.,1878-05-24,1885-07-30,2624,Hayes,11,David M. Key,26,Cleveland1,14,William F. Vilas,32,,0.538,69.3,0.547
0,0,Totty,IONI,7,Anderson,1885,30,Wm.,1885-07-30,1888-05-10,1015,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,69.3,0.547,68.8,0.547
0,0,Thompson,IONI,5,Anderson,1888,10,Wm. H.,1888-05-10,1892-03-07,1397,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,68.8,0.547,100,1
0,0,Bush,IONI,3,Anderson,1892,7,Wm. C.,1892-03-07,1893-05-10,429,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,100,1,57,0.6693767
0,0,Thompson,IONI,5,Anderson,1893,10,Wm. H.,1893-05-10,1895-08-27,839,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,57,0.6693767,47.6,0.6693767
0,0,Bush,IONI,8,Anderson,1895,27,Jas. E.,1895-08-27,1896-12-14,475,Cleveland2,16,William L. Wilson,36,Cleveland2,16,William L. Wilson,36,47.6,0.6693767,59.5,0.5818965
1,0,Thompson,IONI,12,Anderson,1896,14,Retilla P.,1896-12-14,1900-05-31,1263,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,,,59.5,0.5818965
0,0,Miller,KICKAPOO,1,Anderson,1877,9,Wm. R.,1877-01-09,1891-02-20,5155,Grant2,10,James N. Tyner,25,Harrison,15,John Wanamaker,34,,0.538,100,1
0,0,Cook,KICKAPOO,2,Anderson,1891,20,Jas. M.,1891-02-20,1902-05-17,4103,Harrison,15,John Wanamaker,34,Roosevelt1,19,Henry C. Payne,39,100,1,59.5,0.5818965
1,1,Thompson,MANSON,1,Anderson,1898,31,Franklin F.,1898-01-31,1898-11-02,275,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,59.5,0.5818965
0,1,Hamlett Jr.,MONTALBA,3,Anderson,1882,20,Wm. J.,1882-03-20,1883-01-10,296,Arthur,13,Timothy O. Howe,29,Arthur,13,Timothy O. Howe,29,99.5,0.575,100,0.575
0,0,Hamlett,MONTALBA,1,Anderson,1883,10,Mrs. Mary E.,1883-01-10,1/4/07,8759,Arthur,13,Timothy O. Howe,29,Roosevelt2,20,George B. Cortelyou,41,100,0.575,59.5,0.5818965
0,1,Dunn,NECHES,5,Anderson,1892,17,Thos. R.,1892-05-17,5/11/05,4741,Harrison,15,John Wanamaker,34,Roosevelt2,20,George B. Cortelyou,41,100,1,59.5,0.5818965
0,0,Ferguson,PALESTINE,2,Anderson,1886,15,Alex.,1886-02-15,1890-01-16,1431,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,69.3,0.547,84.1,1
0,0,Dilley,PALESTINE,1,Anderson,1890,16,Geo. E.,1890-01-16,1894-02-16,1492,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,84.1,1,57,0.6693767
0,0,McReynolds,PALESTINE,2,Anderson,1894,16,Z. A.,1894-02-16,1898-05-10,1544,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,Charles Emory Smith,38,57,0.6693767,59.5,0.5818965
0,0,Hall,PALESTINE,5,Anderson,1898,10,Thos.,1898-05-10,2/21/07,3208,McKinley,17,Charles Emory Smith,38,Roosevelt2,20,George von L. Meyer,42,,,59.5,0.5818965
1,0,Davis,PLENTITUDE,12,Anderson,1877,10,John A.,1877-12-10,1883-06-13,2011,Hayes,11,David M. Key,26,Arthur,13,Walter Q. Gresham,30,,0.538,100,0.575
0,1,McDaniel,SLOCUM,1,Anderson,1898,4,Edmon T.,1898-01-04,1903-06-25,1997,McKinley,17,James A. Gary,37,Roosevelt1,19,Henry C. Payne,39,,,59.5,0.5818965
1,1,Devany,STEELBORO,5,Anderson,1891,6,Geo.,1891-05-06,1892-11-15,559,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,100,1,57,0.6693767
0,-1,Young Jr.,TUCKER,1,Anderson,1882,31,John,1882-01-31,1883-12-10,678,Arthur,13,Timothy O. Howe,29,Arthur,13,Walter Q. Gresham,30,99.5,0.575,100,0.575
0,0,Johnston,TUCKER,12,Anderson,1883,10,Henry F.,1883-12-10,1890-02-14,2258,Arthur,13,Walter Q. Gresham,30,Harrison,15,John Wanamaker,34,100,0.575,84.1,1
0,0,Glenn,TUCKER,2,Anderson,1890,14,Henry,1890-02-14,1892-03-10,755,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,84.1,1,100,1
0,0,Peebles,TUCKER,3,Anderson,1892,10,Thos. H.,1892-03-10,1895-09-06,1275,Harrison,15,John Wanamaker,34,Cleveland2,16,William L. Wilson,36,100,1,47.6,0.6693767
1,0,Keller,TUCKER,9,Anderson,1895,6,John P. C.,1895-09-06,1900-03-09,1645,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,47.6,0.6693767,59.5,0.5818965
0,3,[Re-established] Moseley,ANGELINA,4,Angelina,1898,29,Malcolm J.,1898-04-29,1899-05-09,375,McKinley,17,Charles Emory Smith,38,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
1,1,Townsend,BAKER,7,Angelina,1889,20,Martin W.,1889-07-20,1894-06-13,1789,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,86,0.9502763,63.3,0.9405773
1,2,Fenley,BAKER,10,Angelina,1894,26,Zack P.,1894-10-26,1895-05-06,192,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,63.3,0.9405773,61.3,0.9405773
0,3,Townsend,BAKER,8,Angelina,1895,19,Martin W.,1895-08-19,1901-01-31,1991,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,61.3,0.9405773,55.5,0.789826
1,0,Bonner,BONNER'S MILL,7,Angelina,1877,2,W. H.,1877-07-02,1877-09-11,71,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,100,0.844,100,0.844
1,1,Futch,BRADLEY,8,Angelina,1881,29,J. M.,1881-08-29,1882-08-04,340,Garfield,12,Thomas L. James,28,Arthur,13,Timothy O. Howe,29,100,1,100,1
1,1,Medford,BREAKER,9,Angelina,1884,23,Geo. A.,1884-09-23,1884-11-11,49,Arthur,13,Walter Q. Gresham,30,Arthur,13,Frank Hatton,31,99.7,1,99.7,0.943
0,1,Stovall,BURKE,3,Angelina,1886,20,David M.,1886-03-20,1887-05-23,429,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,99.7,0.943,97.2,0.943
0,0,Roberts,BURKE,5,Angelina,1887,23,Dixie,1887-05-23,1888-03-07,289,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,97.2,0.943,97.2,0.943
0,0,Treadwell,BURKE,3,Angelina,1888,7,Stephen J.,1888-03-07,1897-09-11,3475,Cleveland1,14,Donald M. Dickinson,33,McKinley,17,James A. Gary,37,97.2,0.943,55.5,0.789826
0,0,Mantooth,BURKE,9,Angelina,1897,11,Wm. B.,1897-09-11,9/2/14,6199,McKinley,17,James A. Gary,37,Wilson1,22,Albert S. Burleson,44,,,55.5,0.789826
0,1,Vinson,CLAWSON,3,Angelina,1891,26,Wm. McD.,1891-03-26,1892-09-08,532,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,93.5,0.9502763,93.5,0.9502763
0,0,Mantooth,CLAWSON,9,Angelina,1892,8,Thos. C.,1892-09-08,1895-07-31,1056,Harrison,15,John Wanamaker,34,Cleveland2,16,William L. Wilson,36,93.5,0.9502763,61.3,0.9405773
0,0,Means,CLAWSON,7,Angelina,1895,31,John C.,1895-07-31,1898-09-09,1136,Cleveland2,16,William L. Wilson,36,McKinley,17,Charles Emory Smith,38,61.3,0.9405773,55.5,0.789826
0,0,Smith Jr.,CLAWSON,9,Angelina,1898,9,Horace,1898-09-09,1900-04-03,571,McKinley,17,Charles Emory Smith,38,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Rutland,DIBOLL,5,Angelina,1897,25,Wm. P.,1897-05-25,1901-04-25,1430,McKinley,17,James A. Gary,37,McKinley,18,Charles Emory Smith,38,,,55.5,0.789826
0,1,West,DURST,12,Angelina,1893,30,John E.,1893-12-30,1895-05-11,497,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,63.3,0.9405773,61.3,0.9405773
0,0,Medlin,DURST,5,Angelina,1895,11,Halbert,1895-05-11,1896-03-03,297,Cleveland2,16,William L. Wilson,36,Cleveland2,16,William L. Wilson,36,61.3,0.9405773,61.3,0.9405773
0,0,Broughton,DURST,3,Angelina,1896,3,Sargent P.,1896-03-03,1897-01-18,321,Cleveland2,16,William L. Wilson,36,Cleveland2,16,William L. Wilson,36,61.3,0.9405773,55.5,0.789826
0,0,Nelms,DURST,1,Angelina,1897,18,Willie A.,1897-01-18,1897-07-26,189,Cleveland2,16,William L. Wilson,36,McKinley,17,James A. Gary,37,,,55.5,0.789826
0,0,Moseley,DURST,7,Angelina,1897,26,Malcolm J.,1897-07-26,1898-04-29,277,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Carter,EMPORIA,7,Angelina,1893,10,Jos. C.,1893-07-10,1902-12-16,3445,Cleveland2,16,Wilson S. Bissell,35,Roosevelt1,19,Henry C. Payne,39,63.3,0.9405773,55.5,0.789826
0,1,Cansler,EUDORA,10,Angelina,1885,6,Mrs. Sarah C.,1885-10-06,1888-07-02,1000,Cleveland1,14,William F. Vilas,32,Cleveland1,14,Donald M. Dickinson,33,99.7,0.943,97.2,0.943
0,0,Guinn,EUDORA,7,Angelina,1888,2,Mary C.,1888-07-02,1897-10-14,3391,Cleveland1,14,Donald M. Dickinson,33,McKinley,17,James A. Gary,37,97.2,0.943,55.5,0.789826
0,0,Cansler,EUDORA,10,Angelina,1897,14,Chas. E.,1897-10-14,1898-09-29,350,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
1,0,Weaver,EUDORA,9,Angelina,1898,29,T. H.,1898-09-29,1898-12-23,85,McKinley,17,Charles Emory Smith,38,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Oates,HAMLET,6,Angelina,1894,11,Martha A.,1894-06-11,1900-03-06,2094,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,Charles Emory Smith,38,63.3,0.9405773,55.5,0.789826
0,0,Ricks,HOMER,12,Angelina,1880,20,Casper A.,1880-12-20,1882-03-30,465,Hayes,11,Horace Maynard,27,Arthur,13,Timothy O. Howe,29,100,1,100,1
0,0,Matthews,HOMER,3,Angelina,1882,30,Henry J.,1882-03-30,1889-10-10,2751,Arthur,13,Timothy O. Howe,29,Harrison,15,John Wanamaker,34,100,1,86,0.9502763
0,0,Brown,HOMER,10,Angelina,1889,10,Mrs. Caledonia,1889-10-10,1891-10-29,749,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,86,0.9502763,93.5,0.9502763
0,0,Borden,HOMER,10,Angelina,1891,29,Benj. W.,1891-10-29,1892-02-04,98,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,93.5,0.9502763,93.5,0.9502763
0,0,Collins,HOMER,2,Angelina,1892,4,Geo. M.,1892-02-04,1892-08-11,189,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,93.5,0.9502763,93.5,0.9502763
0,0,Collins,HOMER,8,Angelina,1892,11,Geo. J.,1892-08-11,1893-04-28,260,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,93.5,0.9502763,63.3,0.9405773
0,0,Robb,HOMER,4,Angelina,1893,28,Ed. L.,1893-04-28,1897-09-22,1608,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,63.3,0.9405773,55.5,0.789826
1,0,Thompson,HOMER,9,Angelina,1897,22,John N.,1897-09-22,4/30/24,9716,McKinley,17,James A. Gary,37,Coolidge,25,Harry S. New,47,,,55.5,0.789826
0,1,Kennedy,IVY,5,Angelina,1886,29,Idella J.,1886-05-29,1887-01-03,219,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,99.7,0.943,97.2,0.943
0,0,Haley,IVY,1,Angelina,1887,3,Sophie,1887-01-03,1888-01-03,365,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,97.2,0.943,97.2,0.943
0,0,Scarbrough,IVY,1,Angelina,1888,3,Wm. B.,1888-01-03,1896-11-16,3240,Cleveland1,14,William F. Vilas,32,Cleveland2,16,William L. Wilson,36,97.2,0.943,55.5,0.789826
0,0,Hilliard,IVY,11,Angelina,1896,16,Wm. W.,1896-11-16,1898-03-15,484,Cleveland2,16,William L. Wilson,36,McKinley,17,James A. Gary,37,,,55.5,0.789826
0,0,Cowart,IVY,3,Angelina,1898,15,Sebron J.,1898-03-15,1900-01-23,679,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Davis,JAKE,3,Angelina,1884,19,Jacob,1884-03-19,1885-11-03,594,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,William F. Vilas,32,99.7,1,99.7,0.943
1,0,Chambers,JAKE,11,Angelina,1885,3,Miss Lizzie E.,1885-11-03,1886-05-11,189,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,99.7,0.943,99.7,0.943
0,1,Kurth,KELTY'S,5,Angelina,1890,26,Jos. H.,1890-05-26,1891-11-25,548,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,86,0.9502763,93.5,0.9502763
0,0,West,KELTY'S,11,Angelina,1891,25,John E.,1891-11-25,1892-02-04,71,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,93.5,0.9502763,93.5,0.9502763
0,0,Weiner Jr.,KELTY'S,2,Angelina,1892,4,Sam.,1892-02-04,1897-09-27,2062,Harrison,15,John Wanamaker,34,McKinley,17,James A. Gary,37,93.5,0.9502763,55.5,0.789826
0,0,Kurth,KELTY'S,9,Angelina,1897,27,Jos. H.,1897-09-27,7/1/15,6485,McKinley,17,James A. Gary,37,Wilson1,22,Albert S. Burleson,44,,,55.5,0.789826
0,1,Lay,LAY,10,Angelina,1898,1,Wm. C.,1898-10-01,1899-03-10,160,McKinley,17,Charles Emory Smith,38,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Abney,LUFKIN,4,Angelina,1882,12,Wm. A.,1882-04-12,1883-03-21,343,Arthur,13,Timothy O. Howe,29,Arthur,13,Timothy O. Howe,29,100,1,99.7,1
0,0,Kerr,LUFKIN,3,Angelina,1883,21,Jos.,1883-03-21,1890-02-07,2515,Arthur,13,Timothy O. Howe,29,Harrison,15,John Wanamaker,34,99.7,1,86,0.9502763
0,0,Gann,LUFKIN,2,Angelina,1890,7,Nathan W.,1890-02-07,1893-08-02,1272,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,86,0.9502763,63.3,0.9405773
0,0,McPherson,LUFKIN,8,Angelina,1893,2,Benj. L.,1893-08-02,1897-07-23,1451,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,James A. Gary,37,63.3,0.9405773,55.5,0.789826
0,0,Vinson,LUFKIN,7,Angelina,1897,23,Winfield L.,1897-07-23,1900-01-23,914,McKinley,17,James A. Gary,37,McKinley,17,Charles Emory Smith,38,,,55.5,0.789826
0,1,Seale,MIAMI,5,Angelina,1882,12,Albert B.,1882-05-12,1882-09-18,129,Arthur,13,Timothy O. Howe,29,Arthur,13,Timothy O. Howe,29,100,1,100,1
1,0,Ross,MIAMI,9,Angelina,1882,18,Mrs. Lulu C.,1882-09-18,1883-04-28,222,Arthur,13,Timothy O. Howe,29,Arthur,13,Walter Q. Gresham,30,100,1,99.7,1
0,2,Hensarling,MOTT,9,Angelina,1885,28,Jesse C.,1885-09-28,1897-02-08,4151,Cleveland1,14,William F. Vilas,32,Cleveland2,16,William L. Wilson,36,99.7,0.943,55.5,0.789826
0,0,Dudley,MOTT,2,Angelina,1897,8,Jas. E.,1897-02-08,1901-08-24,1657,Cleveland2,16,William L. Wilson,36,McKinley,18,Charles Emory Smith,38,,,55.5,0.789826
0,1,Medford,ORA,11,Angelina,1884,11,Geo. A.,1884-11-11,1886-01-14,429,Arthur,13,Frank Hatton,31,Cleveland1,14,William F. Vilas,32,99.7,0.943,99.7,0.943
0,0,Cochran,ORA,1,Angelina,1886,14,Mrs. Elvira,1886-01-14,1891-04-11,1913,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,99.7,0.943,93.5,0.9502763
0,0,Moore,ORA,4,Angelina,1891,11,Mrs. Sue A.,1891-04-11,1892-09-09,517,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,93.5,0.9502763,93.5,0.9502763
0,0,Cochran,ORA,9,Angelina,1892,9,Frances M.,1892-09-09,1893-09-28,384,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,93.5,0.9502763,63.3,0.9405773
0,0,Baird,ORA,9,Angelina,1893,28,Lewis E.,1893-09-28,1894-05-01,215,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,63.3,0.9405773,63.3,0.9405773
0,0,Cochran,ORA,5,Angelina,1894,1,Elvira,1894-05-01,1896-09-08,861,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,William L. Wilson,36,63.3,0.9405773,61.3,0.9405773
