NewApp,Last,Office,Month,County,Year,Day,First
0,Harton,CAYUGA,4,Anderson,1910,2,Jewel
0,Johnson,CAYUGA,10,Anderson,1910,5,Jos. A.
1,Brown,COUNTY LINE,4,Anderson,1903,14,Wm. M.
1,Brown,DENMARK,8,Anderson,1905,2,Isaac W.
2,Day,DENMARK,8,Anderson,1913,27,Chas. L.
1,Wortham,DENSON SPRING,12,Anderson,1893,28,John W.
0,Cone,DENSON SPRING,6,Anderson,1910,27,John P.
2,Bourman,DENSON SPRING,5,Anderson,1915,1,Joel H.
0,Thompson,DENSON SPRING,2,Anderson,1917,19,Wm. E.
1,Kennedy,ELKHART,3,Anderson,1850,19,Jos.
3,Bryan,ELKHART,1,Anderson,1874,28,Jas. W.
0,Caldwell,ELKHART,10,Anderson,1874,13,Wm. S.
0,Douthit,ELKHART,7,Anderson,1875,29,E. V.
0,Ray,ELKHART,1,Anderson,1876,17,John C.
0,Harris,ELKHART,7,Anderson,1878,22,Thos. J.
0,Bryan,ELKHART,12,Anderson,1879,16,Jas. W.
0,Horn,ELKHART,1,Anderson,1899,19,Stephen
0,Hawthorn,ELKHART,11,Anderson,1905,2,Wm. D.
0,Kennedy,ELKHART,9,Anderson,1913,20,Aug. E.
0,Kennedy,ELKHART,10,Anderson,1917,22,Roger Q.
0,Hawthorn,ELKHART,1,Anderson,1924,16,Wm. D.
1,Rogers,ELMTOWN,12,Anderson,1901,11,Benj. F.
0,Tippen,ELMTOWN,2,Anderson,1906,23,Benj. F.
1,Elrod,ELROD,7,Anderson,1899,5,John H.
1,Harding,FITZGERALD,2,Anderson,1888,20,Wm. H.
0,Kelley,FITZGERALD,7,Anderson,1889,15,Cornelius D.
1,Emerson,FOSTERVILLE,8,Anderson,1870,30,Jas. M.
0,Dickerson,FOSTERVILLE,8,Anderson,1880,31,W. R.
0,Doughty,FOSTERVILLE,11,Anderson,1880,9,Felix F.
0,Neely,FOSTERVILLE,8,Anderson,1881,17,J. C.
0,Milner,FOSTERVILLE,10,Anderson,1881,13,T. F.
0,Welborn,FOSTERVILLE,1,Anderson,1883,29,Wm. P.
0,Emerson,FOSTERVILLE,11,Anderson,1885,25,Jas. M.
0,Whitfield,FOSTERVILLE,2,Anderson,1905,25,Jerrie C.
0,Garrett,FRANKSTON,6,Anderson,1907,19,Dallas
0,Ayres,FRANKSTON,12,Anderson,1914,29,Sallie M.
0,Gardner,FRANKSTON,7,Anderson,1917,21,Sallie M.
0,Campbell,FRANKSTON,3,Anderson,1922,2,Edgar M.
0,Garrett,FRANKSTON,12,Anderson,1925,1,Basil L.
1,Garner,GOODSONVILLE,4,Anderson,1888,23,Geo. A.
0,Goodson,GOODSONVILLE,2,Anderson,1889,1,Jacob
0,Heidleburg,GOODSONVILLE,12,Anderson,1893,14,Paul B.
1,Herrington,HANKS,5,Anderson,1894,21,Elijah
2,Fain,HENDERSONVILLE,5,Anderson,1860,21,Joel
0,Fain,HENDERSONVILLE,7,Anderson,1861,12,Joel
3,Wallace,HENDERSONVILLE,2,Anderson,1867,27,Wm. S.
1,Sadler,IONI,11,Anderson,1848,30,Wm. T.
2,Jones,IONI,6,Anderson,1858,2,August K. W.
0,Fuller,IONI,11,Anderson,1859,10,John B.
0,Miller,IONI,2,Anderson,1860,10,Matt.
0,Moore,IONI,7,Anderson,1860,14,Wm.
0,Moore,IONI,1,Anderson,1862,17,Wm.
3,Grayson,IONI,10,Anderson,1870,14,Robt. P.
0,Howe,IONI,5,Anderson,1878,6,D.
0,Campbell,IONI,5,Anderson,1878,24,Wm. H.
0,Totty,IONI,7,Anderson,1885,30,Wm.
0,Thompson,IONI,5,Anderson,1888,10,Wm. H.
0,Bush,IONI,3,Anderson,1892,7,Wm. C.
0,Thompson,IONI,5,Anderson,1893,10,Wm. H.
0,Bush,IONI,8,Anderson,1895,27,Jas. E.
0,Thompson,IONI,12,Anderson,1896,14,Retilla P.
1,Mosley,KICKAPOO,12,Anderson,1850,16,John
2,Baker,KICKAPOO,6,Anderson,1852,25,David B.
0,Miller,KICKAPOO,12,Anderson,1853,2,Wm. R.
0,Robinson,KICKAPOO,3,Anderson,1857,6,Asa
0,Henderson,KICKAPOO,12,Anderson,1857,31,Jos. D.
0,Rhome,KICKAPOO,3,Anderson,1859,16,Romulus J.
0,Rhome,KICKAPOO,8,Anderson,1861,6,R. J.
0,Baker,KICKAPOO,12,Anderson,1861,28,D. B.
0,Mosley,KICKAPOO,3,Anderson,1866,14,Isham
0,Honigsberger,KICKAPOO,11,Anderson,1866,15,Isaac
0,Buckingham,KICKAPOO,12,Anderson,1866,7,Thos. H.
0,Garland,KICKAPOO,8,Anderson,1869,24,Thos. L.
0,Miller,KICKAPOO,1,Anderson,1877,9,Wm. R.
0,Miller,KICKAPOO,0,Anderson,0,17? Aug 1886,Reuben C.
0,Cook,KICKAPOO,2,Anderson,1891,20,Jas. M.
0,Freeman,KICKAPOO,5,Anderson,1902,17,Pierce
1,Haygood,MAGNOLIA,11,Anderson,1851,17,Wm. A.
0,Hagwood,MAGNOLIA,4,Anderson,1862,15,Wm. A.
2,Fields,MAGNOLIA,12,Anderson,1870,21,Henry
1,Thompson,MANSON,1,Anderson,1898,31,Franklin F.
1,Millican,MARLOW,4,Anderson,1902,25,Wm. A.
1,Anglin,MARLOW'S MILL,9,Anderson,1853,9,Wm. R.
1,Donson,MASSEY LAKE,12,Anderson,1922,20,Ben H.
0,Wilson Sr.,MASSEY LAKE,5,Anderson,1925,16,Frank K.
0,Hamilton,MASSEY LAKE,1,Anderson,1929,24,Mrs. V. R.
1,Sumatte,MITTO,5,Anderson,1858,10,Wm. M.
0,Sumatte,MITTO,7,Anderson,1861,12,Wm. M.
1,Rose,MIZPAH,8,Anderson,1901,6,Anna K.
0,Gray,MIZPAH,12,Anderson,1903,28,Henry S.
1,Gaught,MONINGTON,8,Anderson,1918,30,Louise A.
0,Johnson,MONINGTON,5,Anderson,1921,5,Houston D.
0,Hester,MONINGTON,4,Anderson,1923,19,Geo. G.
1,Hamlett Jr.,MONTALBA,3,Anderson,1882,20,Wm. J.
0,Hamlett,MONTALBA,1,Anderson,1883,10,Mrs. Mary E.
0,Ferguson,MONTALBA,1,Anderson,1907,4,John F.
0,Hendrix,MONTALBA,3,Anderson,1908,3,John G.
0,Harris,MONTALBA,7,Anderson,1920,15,Nora
0,Hendrix,MONTALBA,12,Anderson,1920,9,John G.
0,Harris,MONTALBA,8,Anderson,1923,22,Wm. I.
0,Sutherlin,MONTALBA,4,Anderson,1924,18,Lona R.
0,Auld,MONTALBA,11,Anderson,1931,5,Evelyn
1,Dunn,NECHES,5,Anderson,1892,17,Thos. R.
0,Caroll,NECHES,5,Anderson,1905,11,Frank O.
0,Maraman,NECHES,3,Anderson,1910,3,Edna P.
0,Mahaffey,NECHES,12,Anderson,1910,12,Abner D.
0,Brown,NECHES,8,Anderson,1914,14,John F.
0,Daly,NECHES,9,Anderson,1916,30,Ernest L.
0,Spalding,NECHES,3,Anderson,1920,11,Louis E.
0,Howe,NECHES,8,Anderson,1922,4,Ed. S.
0,Capps,NECHESVILLE,12,Anderson,1872,23,John Q. A.
0,Dunn,NECHESVILLE,1,Anderson,1876,7,Thos. R.
1,Shelton,PALESTINE,3,Anderson,1847,8,Chas.
0,McLure,PALESTINE,8,Anderson,1848,3,Alex.
0,Formwalt,PALESTINE,7,Anderson,1853,16,John A.
0,Wortham,PALESTINE,2,Anderson,1854,28,Thos. J. C.
0,Formwalt,PALESTINE,5,Anderson,1854,5,John A.
0,Bailey,PALESTINE,12,Anderson,1855,29,Eli
0,Bailey,PALESTINE,7,Anderson,1861,12,Eli
0,Tunstall,PALESTINE,12,Anderson,1865,23,Wm. V.
0,Cuthbertson,PALESTINE,8,Anderson,1868,5,Thos.
0,Hunt,PALESTINE,12,Anderson,1869,15,Albert F.
0,Mead,PALESTINE,5,Anderson,1870,9,Jas. H.
0,Butler,PALESTINE,3,Anderson,1871,3,Thos. M.
0,Kelly,PALESTINE,6,Anderson,1871,20,Geo. D.
0,Pells,PALESTINE,10,Anderson,1872,21,Jos. F.
0,Ferguson,PALESTINE,2,Anderson,1886,15,Alex.
0,Dilley,PALESTINE,1,Anderson,1890,16,Geo. E.
0,McReynolds,PALESTINE,2,Anderson,1894,16,Z. A.
0,Hall,PALESTINE,5,Anderson,1898,10,Thos.
0,Burkitt Jr.,PALESTINE,2,Anderson,1907,21,Geo. W.
0,Hearne,PALESTINE,7,Anderson,1913,3,John R.
0,Matthews,PALESTINE,8,Anderson,1913,1,Robt. C.
0,Welch,PALESTINE,2,Anderson,1923,24,Thos. M.
1,Stalcup,PARKER'S BLUFF,8,Anderson,1870,24,John J.
0,Williams,PARKER'S BLUFF,10,Anderson,1870,7,Anderson
1,Ward,PARKERSVILLE,3,Anderson,1857,24,Fitzhugh
0,Ward,PARKERSVILLE,8,Anderson,1861,6,Fitzhugh
1,Hanks,PLENTITUDE,11,Anderson,1850,19,Jas. S.
0,Mitchell,PLENTITUDE,6,Anderson,1856,28,Pinckney
0,Brooks,PLENTITUDE,2,Anderson,1858,18,Wm. A.
0,Quarles,PLENTITUDE,2,Anderson,1859,18,Hamilton G.
0,Henry,PLENTITUDE,5,Anderson,1860,7,Isaac H.
0,Pinson,PLENTITUDE,12,Anderson,1864,21,Thos. L.
0,Jones,PLENTITUDE,3,Anderson,1866,22,August R. W.
2,Starr,PLENTITUDE,6,Anderson,1870,17,Jasper
3,Starr,PLENTITUDE,7,Anderson,1875,1,Jasper
0,Davis,PLENTITUDE,12,Anderson,1877,10,John A.
1,Kemp,PRAIRIE POINT,2,Anderson,1873,26,Francis
2,Young Jr.,PRAIRIE POINT,2,Anderson,1876,24,John
1,Prewitt,PREWITT'S TAN YARD,11,Anderson,1858,2,Ira
0,Prewitt,PREWITT'S TAN YARD,10,Anderson,1864,18,Ira
2,Campbell,PREWITT'S TAN YARD,6,Anderson,1867,10,Jas. I.
1,Rehm,PRICE,9,Anderson,1899,5,Margaret M.
0,Price,PRICE,11,Anderson,1900,12,Cynthia
1,Stewart,ROADVILLE,7,Anderson,1852,30,Jas.
0,Lewis,ROADVILLE,10,Anderson,1854,18,Robt. B.
0,Wilson,ROADVILLE,4,Anderson,1856,15,Andrew
0,Wilson,ROADVILLE,12,Anderson,1857,26,Wm. P.
0,Hatton,ROADVILLE,12,Anderson,1858,14,Jas. M.
2,Butler,ROADVILLE,10,Anderson,1859,26,Chas. W.
1,Salmon,SALMON,7,Anderson,1902,1,Marydec
0,Morehead,SALMON,3,Anderson,1911,28,John H.
0,Smith,SALMON,12,Anderson,1911,12,Robt. F.
0,LaRue,SALMON,2,Anderson,1915,23,Amanda J.
0,Smith,SALMON,8,Anderson,1919,30,. Robt. F.
1,Stewart,SAND SPRING,4,Anderson,1850,15,Wm.
-1,Heidleberg,SAUNDERS,11,Anderson,1901,16,Paul B.
1,McDaniel,SLOCUM,1,Anderson,1898,4,Edmon T.
0,Power,SLOCUM,6,Anderson,1903,25,Elberto H.
0,Gray,SLOCUM,11,Anderson,1904,18,Jas. F.
0,Henderson,SLOCUM,5,Anderson,1905,3,Geo.
0,Gray,SLOCUM,8,Anderson,1911,5,Jas. F.
0,Strong,SLOCUM,1,Anderson,1915,26,Cora E.
0,Davis,SLOCUM,8,Anderson,1928,7,Arion H.
2,Davis,SLOCUM,12,Anderson,1929,6,Arion H.
1,Devany,STEELBORO,5,Anderson,1891,6,Geo.
1,Gibson,STILL'S CREEK,2,Anderson,1857,28,G. W.
0,Anglin,STILL'S CREEK,4,Anderson,1857,16,Valentine S.
1,Woolverton,TENNESSEE COLONY,3,Anderson,1852,24,John
0,King,TENNESSEE COLONY,5,Anderson,1860,2,Zeb. H.
0,Hefley,TENNESSEE COLONY,7,Anderson,1861,12,G. W.
2,Walker,TENNESSEE COLONY,6,Anderson,1867,10,John
3,Avant,TENNESSEE COLONY,9,Anderson,1875,22,Mason S.
0,Avant,TENNESSEE COLONY,9,Anderson,1906,24,Marcus E.
-1,Young Jr.,TUCKER,1,Anderson,1882,31,John
0,Johnston,TUCKER,12,Anderson,1883,10,Henry F.
0,Glenn,TUCKER,2,Anderson,1890,14,Henry
0,Peebles,TUCKER,3,Anderson,1892,10,Thos. H.
0,Keller,TUCKER,9,Anderson,1895,6,John P. C.
3,McClanahan,TUCKER,4,Anderson,1900,21,Florence M.
0,McClanahan,TUCKER,9,Anderson,1903,26,Elizabeth R.
0,Keeling,TUCKER,1,Anderson,1905,6,Wm. V.
1,Hunter,WILD CAT BLUFF,12,Anderson,1859,12,H. J.
0,Hardgrave,WILD CAT BLUFF,2,Anderson,1860,3,Jas. B.
0,Whatley,WILD CAT BLUFF,8,Anderson,1860,23,Eulicious R.
2,Barry,WILD CAT BLUFF,1,Anderson,1870,12,Geo.
1,Gray,YARD,7,Anderson,1903,21,Brucy C.
2,Gray,YARD,9,Anderson,1911,14,Peter
1,White,ANDREWS,1,Andrews,1909,20,Thos. M.
0,Brown,ANDREWS,4,Andrews,1911,10,Aubrey N.
0,Haag,ANDREWS,1,Andrews,1915,13,Edmund L.
0,Irwin,ANDREWS,8,Andrews,1919,28,Mary H.
0,Wilson,ANDREWS,8,Andrews,1921,24,Roy
0,Mathews,ANDREWS,3,Andrews,1926,26,Florence
0,Louis,ANDREWS,2,Andrews,1929,5,Florence M.
0,Burkett,ANDREWS,4,Andrews,1931,28,Edgar W.
1,Taylor,ETHEL,3,Andrews,1908,21,Arthur H.
0,Gaines,ETHEL,7,Andrews,1908,30,J. Grundy
1,Smith,FLOREY,1,Andrews,1909,18,Lee N.
0,Wilson,FLOREY,11,Andrews,1909,22,Wm. A.
0,Gilbert,FLOREY,11,Andrews,1910,19,John B.
0,Florey,FLOREY,5,Andrews,1913,19,Carrie E.
0,Clewis,FLOREY,1,Andrews,1917,4,John D.
0,Carter,FLOREY,5,Andrews,1920,4,Jas. P.
0,Dunaway,FLOREY,6,Andrews,1921,24,Chas. F.
0,Myrick,FLOREY,11,Andrews,1923,30,Ethel V.
0,Lane,FLOREY,4,Andrews,1927,23,Dollie
0,Wooley,FLOREY,10,Andrews,1927,24,Henry H.
0,Wooley,FLOREY,10,Andrews,1931,12,Mrs. Lorena
1,Van Hollebeke,HOLLEBEKE,8,Andrews,1903,14,Pierre
0,Williamson,HOLLEBEKE,8,Andrews,1906,21,Esquire T.
-1,Logsdon,LOGSDON,6,Andrews,1908,23,Minnie W.
0,Logsdon,LOGSDON,3,Andrews,1914,31,Ethel N.
0,Hoover,LOGSDON,10,Andrews,1915,15,Evalena
1,Irwin,SHAFTER LAKE,7,Andrews,1907,19,Bert M.
0,Wagner,SHAFTER LAKE,8,Andrews,1910,26,Jimmie
0,Irwin,SHAFTER LAKE,1,Andrews,1911,6,John W.
0,Johnson,SHAFTER LAKE,2,Andrews,1915,17,Benj. A.
0,Murphy,SHAFTER LAKE,12,Andrews,1928,19,Virgil W.
1,McConnell,ALCEDO,10,Angelina,1916,26,Seth A.
0,Dunn,ALCEDO,4,Angelina,1917,5,Thos. W.
0,Lester,ALCEDO,9,Angelina,1917,27,Birdie
2,McMullen,ALCEDO,5,Angelina,1919,20,Thos. W.
0,Marshall,ALCEDO,12,Angelina,1919,30,Edd. S.
1,Bradshaw,ANGELINA,7,Angelina,1855,2,Josiah
2,[Re-established) Parker,ANGELINA,5,Angelina,1860,16,Jas.
0,Hensarling,ANGELINA,9,Angelina,1861,25,Jesse C.
3,[Re-established] Moseley,ANGELINA,4,Angelina,1898,29,Malcolm J.
0,Roberts,ANGELINA,5,Angelina,1899,9,Edgar A.
0,Kilgore,ANGELINA,5,Angelina,1899,27,Homer
0,Baker,ANGELINA,4,Angelina,1900,20,Henry
0,Foster,ANGELINA,1,Angelina,1901,7,Leonidas B.
1,Byrns,BABER,1,Angelina,1907,31,Jas.
0,Hickman,BABER,3,Angelina,1908,13,Edgar T.
0,Fisher,BABER,9,Angelina,1912,28,Jos. F.
1,Townsend,BAKER,7,Angelina,1889,20,Martin W.
2,Fenley,BAKER,10,Angelina,1894,26,Zack P.
3,Townsend,BAKER,8,Angelina,1895,19,Martin W.
0,Matthews,BAKER,1,Angelina,1901,31,John S.
0,Cates,BAKER,5,Angelina,1901,10,Jos. D.
1,Ballentine,BONNER'S MILL,6,Angelina,1876,13,Chas. A.
0,Bonner,BONNER'S MILL,7,Angelina,1877,2,W. H.
1,Futch,BRADLEY,8,Angelina,1881,29,J. M.
1,Medford,BREAKER,9,Angelina,1884,23,Geo. A.
1,Stovall,BURKE,3,Angelina,1886,20,David M.
0,Roberts,BURKE,5,Angelina,1887,23,Dixie
0,Treadwell,BURKE,3,Angelina,1888,7,Stephen J.
0,Mantooth,BURKE,9,Angelina,1897,11,Wm. B.
0,McCall,BURKE,9,Angelina,1914,2,Ina
1,Hill,BURRIS' PRAIRIE,11,Angelina,1860,15,Joel
0,Hill,BURRIS' PRAIRIE,8,Angelina,1861,6,Joel
1,Richardson,CHANCY,5,Angelina,1915,25,Chas. W.
1,Humphrey,CHEESELAND,8,Angelina,1857,8,Jacob
2,Hillenkamp,CHEESELAND,11,Angelina,1860,10,Wenzel
0,Hillenkamp,CHEESELAND,8,Angelina,1861,5,Wenzel
3,Buckalue,CHEESELAND,11,Angelina,1866,6,Mrs. Martha
0,Hillenkamp,CHEESELAND,6,Angelina,1873,11,Wenzel
0,To WELLS,CHEESELAND,3,Angelina,1886,29,Cherokee Co.
1,Vinson,CLAWSON,3,Angelina,1891,26,Wm. McD.
0,Mantooth,CLAWSON,9,Angelina,1892,8,Thos. C.
0,Means,CLAWSON,7,Angelina,1895,31,John C.
0,Smith Jr.,CLAWSON,9,Angelina,1898,9,Horace
0,Caruthers,CLAWSON,4,Angelina,1900,3,Robt. A.
0,Earl,CLAWSON,6,Angelina,1903,26,Wm.
0,Sapp,CLAWSON,2,Angelina,1906,27,Jas. M.
2,Stroud,CLAWSON,12,Angelina,1906,27,Ashley
3,Bivins,CLAWSON,7,Angelina,1908,8,Maurice
0,Blythe,CLAWSON,2,Angelina,1910,23,Ed. W.
0,Melear,CLAWSON,1,Angelina,1912,9,Robt. H.
0,Sulser,CLAWSON,10,Angelina,1912,26,Andrew
0,Bargainer,CLAWSON,4,Angelina,1915,24,Lawson T.
0,Hopper,CLAWSON,4,Angelina,1920,10,Sallie
0,Poe,CLAWSON,12,Angelina,1929,17,Mrs. Ruth
1,Harrington,DAVISVILLE,4,Angelina,1908,8,Wm. G.
0,Smith,DAVISVILLE,6,Angelina,1909,9,Jas. S.
0,Clayton,DAVISVILLE,2,Angelina,1910,2,Jas. H.
1,Rutland,DIBOLL,5,Angelina,1897,25,Wm. P.
0,Walker,DIBOLL,4,Angelina,1901,25,Watson
0,Rutland,DIBOLL,9,Angelina,1904,30,Wm. P.
0,Farrington,DIBOLL,12,Angelina,1908,14,Frank
0,Kelley,DIBOLL,12,Angelina,1925,1,Zettie
0,Grant,DONOVAN,6,Angelina,1929,27,Bertie
0,Fuller,DONOVAN,10,Angelina,1930,22,Carlon I.
1,Dunkin,DUNKIN,2,Angelina,1901,14,Harrison A.
0,Chambers,DUNKIN,9,Angelina,1902,15,Chas. A.
0,Arnett,DUNKIN,4,Angelina,1926,30,Ralph C.
1,Odum,DURANT,10,Angelina,1909,30,Lovie C.
0,Chumley,DURANT,4,Angelina,1914,29,Jos. G.
1,West,DURST,12,Angelina,1893,30,John E.
0,Medlin,DURST,5,Angelina,1895,11,Halbert
0,Broughton,DURST,3,Angelina,1896,3,Sargent P.
0,Nelms,DURST,1,Angelina,1897,18,Willie A.
0,Moseley,DURST,7,Angelina,1897,26,Malcolm J.
1,McKnight,ELYSIUM,6,Angelina,1857,29,Jos. K.
0,Ruby,ELYSIUM,8,Angelina,1858,3,Chas.
0,Ruby,ELYSIUM,12,Angelina,1861,28,Chas.
1,Carter,EMPORIA,7,Angelina,1893,10,Jos. C.
0,Vinson,EMPORIA,12,Angelina,1902,16,Willie M.
0,Carter,EMPORIA,9,Angelina,1904,20,Horace M.
0,Jones,EMPORIA,12,Angelina,1906,18,Clarence A.
1,Cansler,EUDORA,10,Angelina,1885,6,Mrs. Sarah C.
0,Guinn,EUDORA,7,Angelina,1888,2,Mary C.
0,Cansler,EUDORA,10,Angelina,1897,14,Chas. E.
0,Weaver,EUDORA,9,Angelina,1898,29,T. H.
2,Warren,EUDORA,5,Angelina,1899,18,Willie O.
3,Robinson,EUDORA,9,Angelina,1901,28,John F.
1,Bohlssen,EWING,10,Angelina,1920,5,John W.
0,Miller,EWING,4,Angelina,1922,21,Clyde E.
0,Bohlssen,EWING,7,Angelina,1923,17,Mary C.
0,Finley,EWING,11,Angelina,1923,28,Oscar L.
0,Honeycutt,EWING,12,Angelina,1925,19,Annie J.
1,Windham,FORT TERAN,11,Angelina,1856,17,Thos. B.
0,Windham,FORT TERAN,3,Angelina,1862,13,Thos. B.
1,Oates,HAMLET,6,Angelina,1894,11,Martha A.
0,Oates,HAMLET,3,Angelina,1900,6,John W.
0,Wagstaff,HAMLET,7,Angelina,1906,23,Tularmaud
1,Herrington,HERRINGTON'S,2,Angelina,1852,6,Wm.
0,Cochran,HERRINGTON'S,12,Angelina,1857,12,Joshua B.
0,Cochran,HERRINGTON'S,8,Angelina,1861,6,Joshua B.
1,Martin,HOMER,8,Angelina,1858,4,John W.
0,Denman,HOMER,10,Angelina,1858,13,Wash. L.
0,McGowan,HOMER,7,Angelina,1861,12,S. K.
0,Gunn,HOMER,9,Angelina,1862,17,W. W.
0,Rainbolt,HOMER,9,Angelina,1864,1,Hiram
0,Kilpatrick,HOMER,4,Angelina,1865,12,L. C.
0,Steiness,HOMER,5,Angelina,1865,8,Edmond
0,Carnahan,HOMER,4,Angelina,1866,10,David S.
0,Middleton,HOMER,3,Angelina,1867,19,John
0,Shannon,HOMER,12,Angelina,1868,3,Miss Mary A.
0,Branton,HOMER,7,Angelina,1871,21,Arnold
0,Collins,HOMER,6,Angelina,1874,1,Geo. J.
0,Ricks,HOMER,12,Angelina,1880,20,Casper A.
0,Matthews,HOMER,3,Angelina,1882,30,Henry J.
0,Brown,HOMER,10,Angelina,1889,10,Mrs. Caledonia
0,Borden,HOMER,10,Angelina,1891,29,Benj. W.
0,Collins,HOMER,2,Angelina,1892,4,Geo. M.
0,Collins,HOMER,8,Angelina,1892,11,Geo. J.
0,Robb,HOMER,4,Angelina,1893,28,Ed. L.
