NewApp,Last,Office,Month,County,Year,Day,First,Date,EndDate,Duration,AppointingPresident,AppointingPresidentIndex,DismissingPresident,DismissingPresidentIndex,EndType
0,Monday,BEAVER,8,Anderson,1874,24,W. H.,8/24/1874,12/21/1875,484,Grant2,10,Grant2,10,0
0,Hamlett Jr.,BEAVER,12,Anderson,1875,21,Wm. J.,12/21/1875,5/13/1878,874,Grant2,10,Hayes,11,0
0,Phillips,BEAVER,5,Anderson,1878,13,Seabron A.,5/13/1878,1/19/1880,616,Hayes,11,Hayes,11,0
0,Towns,BEAVER,1,Anderson,1880,19,Alonzo H.,1/19/1880,7/25/1881,553,Hayes,11,Garfield,12,1
1,Gilmore,BETHEL,12,Anderson,1852,16,Chas.,12/16/1852,11/3/1855,1052,Fillmore,3,Pierce,4,0
0,McMorris,BETHEL,11,Anderson,1855,3,Henry W.,11/3/1855,11/12/1861,2201,Pierce,4,Lincoln1,6,0
0,McMorris,BETHEL,11,Anderson,1861,12,Henry W.,11/12/1861,4/20/1866,1620,Lincoln1,6,Johnson,8,0
0,Gee,BETHEL,4,Anderson,1866,20,Mrs. Virginia A.,4/20/1866,1/8/1867,263,Johnson,8,Johnson,8,0
0,Kersey,BETHEL,1,Anderson,1867,8,Clinton,1/8/1867,7/11/1870,1280,Johnson,8,Grant1,9,0
0,Andrews,BETHEL,7,Anderson,1870,11,Ed.,7/11/1870,4/5/1880,3556,Grant1,9,Hayes,11,0
0,Barnett,BETHEL,4,Anderson,1880,5,Virginia C.,4/5/1880,10/11/1880,189,Hayes,11,Hayes,11,0
0,King,BETHEL,10,Anderson,1880,11,Thos. W. H.,10/11/1880,1/4/1884,1180,Hayes,11,Arthur,13,0
0,Wallace,BETHEL,1,Anderson,1884,4,Miss Isa,1/4/1884,1/2/1889,1825,Arthur,13,Cleveland1,14,0
0,Cooper,BETHEL,1,Anderson,1889,2,Pitillo B.,1/2/1889,2/27/1891,786,Cleveland1,14,Harrison,15,0
0,Nash,BETHEL,2,Anderson,1891,27,Laura B.,2/27/1891,12/13/1892,655,Harrison,15,Harrison,15,0
0,McCreary,BETHEL,12,Anderson,1892,13,John D.,12/13/1892,11/20/1893,342,Harrison,15,Cleveland2,16,0
0,Gee,BETHEL,11,Anderson,1893,20,Nannie E.,11/20/1893,11/20/1899,2191,Cleveland2,16,McKinley,17,0
0,Curry,BETHEL,11,Anderson,1899,20,Jas. A.,11/20/1899,6/17/1905,2035,McKinley,17,Roosevelt2,20,0
0,Rampy,BETHEL,6,Anderson,1905,17,Hattie A.,6/17/1905,10/12/1906,482,Roosevelt2,20,Roosevelt2,20,0
0,Derden,BETHEL,10,Anderson,1906,12,Milze J.,10/12/1906,8/6/1907,298,Roosevelt2,20,Roosevelt2,20,0
0,Howell,BETHEL,8,Anderson,1907,6,Belle,8/6/1907,10/2/1909,788,Roosevelt2,20,Taft,21,0
0,Derden,BETHEL,10,Anderson,1909,2,Mary E.,10/2/1909,4/24/1914,1665,Taft,21,Wilson1,22,1
1,Stafford,BLACKFOOT,6,Anderson,1886,3,Wm. U.,6/3/1886,11/1/1886,151,Cleveland1,14,Cleveland1,14,0
0,Gage,BLACKFOOT,11,Anderson,1886,1,John L.,11/1/1886,12/28/1889,1153,Cleveland1,14,Harrison,15,0
0,Wylie,BLACKFOOT,12,Anderson,1889,28,T. F.,12/28/1889,3/26/1890,88,Harrison,15,Harrison,15,0
0,Colvin,BLACKFOOT,3,Anderson,1890,26,Harriet L. V.,3/26/1890,10/4/1897,2749,Harrison,15,McKinley,17,0
0,Jenkins,BLACKFOOT,10,Anderson,1897,4,Wiley H.,10/4/1897,11/17/1899,774,McKinley,17,McKinley,17,0
0,McDonald,BLACKFOOT,11,Anderson,1899,17,Emlia C.,11/17/1899,7/8/1902,963,McKinley,17,Roosevelt1,19,0
0,Gatewood,BLACKFOOT,7,Anderson,1902,8,Elisha,7/8/1902,2/28/1907,1696,Roosevelt1,19,Roosevelt2,20,1
1,Bradford,BRADFORD,5,Anderson,1882,26,Pond L.,5/26/1882,7/30/1897,5544,Arthur,13,McKinley,17,0
0,Scarborough,BRADFORD,7,Anderson,1897,30,Anna,7/30/1897,10/31/1907,3744,McKinley,17,Roosevelt2,20,1
1,Gilbert,BRIT,5,Anderson,1904,2,G. W.,5/2/1904,7/18/1904,77,Roosevelt1,19,Roosevelt1,19,0
0,Holcomb,BRIT,7,Anderson,1904,18,Jeff D.,7/18/1904,2/3/1905,200,Roosevelt1,19,Roosevelt1,19,0
0,McCracken,BRIT,2,Anderson,1905,3,Louisa J.,2/3/1905,8/31/1905,209,Roosevelt1,19,Roosevelt2,20,1
0,Rogers,BRUSHY CREEK,11,Anderson,1875,22,J. C.,11/22/1875,2/3/1882,2265,Grant2,10,Arthur,13,0
0,Goolsby,BRUSHY CREEK,2,Anderson,1882,3,J. A.,2/3/1882,4/25/1883,446,Arthur,13,Arthur,13,0
0,Alexander,BRUSHY CREEK,4,Anderson,1883,25,Chris. L.,4/25/1883,4/15/1886,1086,Arthur,13,Cleveland1,14,0
0,Cely,BRUSHY CREEK,4,Anderson,1886,15,John F.,4/15/1886,9/23/1897,4179,Cleveland1,14,McKinley,17,0
0,Coker,BRUSHY CREEK,9,Anderson,1897,23,Robt.,9/23/1897,11/24/1897,62,McKinley,17,McKinley,17,0
0,McDonald,BRUSHY CREEK,11,Anderson,1897,24,Albert H.,11/24/1897,3/15/1898,111,McKinley,17,McKinley,17,0
0,Patterson,BRUSHY CREEK,3,Anderson,1898,15,John W.,3/15/1898,5/18/1899,429,McKinley,17,McKinley,17,0
0,Elrod,BRUSHY CREEK,5,Anderson,1899,18,Lawrence B.,5/18/1899,1/13/1903,1335,McKinley,17,Roosevelt1,19,0
0,Gaines,BRUSHY CREEK,1,Anderson,1903,13,Benj. F.,1/13/1903,1/22/1908,1835,Roosevelt1,19,Roosevelt2,20,0
0,Lunsford,BRUSHY CREEK,1,Anderson,1908,22,Uriah W.,1/22/1908,10/6/1913,2084,Roosevelt2,20,Wilson1,22,0
0,Lunsford,BRUSHY CREEK,10,Anderson,1913,6,Wm. H.,10/6/1913,2/18/1916,865,Wilson1,22,Wilson1,22,0
0,Gaines,BRUSHY CREEK,2,Anderson,1916,18,B. F.,2/18/1916,3/27/1917,403,Wilson1,22,Wilson2,23,0
0,Evans,BRUSHY CREEK,3,Anderson,1917,27,Alfred L.,3/27/1917,2/16/1921,1422,Wilson2,23,Wilson2,23,0
0,Godley,BRUSHY CREEK,2,Anderson,1921,16,Arch. G.,2/16/1921,8/15/1922,545,Wilson2,23,Harding,24,0
0,Berry,BRUSHY CREEK,8,Anderson,1922,15,Doyle P.,8/15/1922,7/17/1923,336,Harding,24,Harding,24,0
0,Cely,BRUSHY CREEK,7,Anderson,1923,17,Frank I.,7/17/1923,1/31/1925,564,Harding,24,Coolidge,25,1
1,Patterson,CANTRELL,12,Anderson,1901,19,Ruth R.,12/19/1901,6/15/1905,1274,Roosevelt1,19,Roosevelt2,20,1
1,Davenport,CAYUGA,5,Anderson,1894,7,Wm. A.,5/7/1894,7/29/1897,1179,Cleveland2,16,McKinley,17,0
0,Cornwell,CAYUGA,7,Anderson,1897,29,Cora L.,7/29/1897,8/3/1903,2195,McKinley,17,Roosevelt1,19,0
0,Godley,CAYUGA,8,Anderson,1903,3,Beulah,8/3/1903,12/3/1906,1218,Roosevelt1,19,Roosevelt2,20,0
0,Thomas,CAYUGA,12,Anderson,1906,3,Mamie C.,12/3/1906,2/19/1909,809,Roosevelt2,20,Roosevelt2,20,0
0,Godley,CAYUGA,2,Anderson,1909,19,Beulah,2/19/1909,4/2/1910,407,Roosevelt2,20,Taft,21,0
0,Harton,CAYUGA,4,Anderson,1910,2,Jewel,4/2/1910,10/5/1910,186,Taft,21,Taft,21,0
0,Johnson,CAYUGA,10,Anderson,1910,5,Jos. A.,10/5/1910,5/16/1914,1319,Taft,21,Wilson1,22,1
1,Brown,COUNTY LINE,4,Anderson,1903,14,Wm. M.,4/14/1903,6/30/1906,1173,Roosevelt1,19,Roosevelt2,20,1
1,Brown,DENMARK,8,Anderson,1905,2,Isaac W.,8/2/1905,3/30/1912,2432,Roosevelt2,20,Taft,21,1
2,Day,DENMARK,8,Anderson,1913,27,Chas. L.,8/27/1913,11/15/1917,1541,Wilson1,22,Wilson2,23,1
1,Wortham,DENSON SPRING,12,Anderson,1893,28,John W.,12/28/1893,6/27/1910,6024,Cleveland2,16,Taft,21,0
0,Cone,DENSON SPRING,6,Anderson,1910,27,John P.,6/27/1910,2/14/1914,1328,Taft,21,Wilson1,22,1
2,Bourman,DENSON SPRING,5,Anderson,1915,1,Joel H.,5/1/1915,2/19/1917,660,Wilson1,22,Wilson1,22,0
0,Thompson,DENSON SPRING,2,Anderson,1917,19,Wm. E.,2/19/1917,6/15/1918,481,Wilson1,22,Wilson2,23,1
1,Kennedy,ELKHART,3,Anderson,1850,19,Jos.,3/19/1850,12/28/1854,1745,Taylor,2,Pierce,4,1
3,Bryan,ELKHART,1,Anderson,1874,28,Jas. W.,1/28/1874,10/13/1874,258,Grant2,10,Grant2,10,0
0,Caldwell,ELKHART,10,Anderson,1874,13,Wm. S.,10/13/1874,7/29/1875,289,Grant2,10,Grant2,10,0
0,Douthit,ELKHART,7,Anderson,1875,29,E. V.,7/29/1875,1/17/1876,172,Grant2,10,Grant2,10,0
0,Ray,ELKHART,1,Anderson,1876,17,John C.,1/17/1876,7/22/1878,917,Grant2,10,Hayes,11,0
0,Harris,ELKHART,7,Anderson,1878,22,Thos. J.,7/22/1878,12/16/1879,512,Hayes,11,Hayes,11,0
0,Bryan,ELKHART,12,Anderson,1879,16,Jas. W.,12/16/1879,1/19/1899,6974,Hayes,11,McKinley,17,0
0,Horn,ELKHART,1,Anderson,1899,19,Stephen,1/19/1899,11/2/1905,2478,McKinley,17,Roosevelt2,20,0
0,Hawthorn,ELKHART,11,Anderson,1905,2,Wm. D.,11/2/1905,9/20/1913,2879,Roosevelt2,20,Wilson1,22,0
0,Kennedy,ELKHART,9,Anderson,1913,20,Aug. E.,9/20/1913,10/22/1917,1493,Wilson1,22,Wilson2,23,0
0,Kennedy,ELKHART,10,Anderson,1917,22,Roger Q.,10/22/1917,1/16/1924,2277,Wilson2,23,Coolidge,25,0
0,Hawthorn,ELKHART,1,Anderson,1924,16,Wm. D.,1/16/1924,na,na,Coolidge,25,na,na,na
1,Rogers,ELMTOWN,12,Anderson,1901,11,Benj. F.,12/11/1901,2/23/1906,1535,Roosevelt1,19,Roosevelt2,20,0
0,Tippen,ELMTOWN,2,Anderson,1906,23,Benj. F.,2/23/1906,6/15/1906,112,Roosevelt2,20,Roosevelt2,20,1
1,Elrod,ELROD,7,Anderson,1899,5,John H.,7/5/1899,1/15/1900,194,McKinley,17,McKinley,17,1
1,Harding,FITZGERALD,2,Anderson,1888,20,Wm. H.,2/20/1888,7/15/1889,511,Cleveland1,14,Harrison,15,0
0,Kelley,FITZGERALD,7,Anderson,1889,15,Cornelius D.,7/15/1889,6/30/1905,5828,Harrison,15,Roosevelt2,20,1
1,Emerson,FOSTERVILLE,8,Anderson,1870,30,Jas. M.,8/30/1870,8/31/1880,3654,Grant1,9,Hayes,11,0
0,Dickerson,FOSTERVILLE,8,Anderson,1880,31,W. R.,8/31/1880,11/9/1880,70,Hayes,11,Hayes,11,0
0,Doughty,FOSTERVILLE,11,Anderson,1880,9,Felix F.,11/9/1880,8/17/1881,281,Hayes,11,Garfield,12,0
0,Neely,FOSTERVILLE,8,Anderson,1881,17,J. C.,8/17/1881,10/13/1881,57,Garfield,12,Arthur,13,0
0,Milner,FOSTERVILLE,10,Anderson,1881,13,T. F.,10/13/1881,1/29/1883,473,Arthur,13,Arthur,13,0
0,Welborn,FOSTERVILLE,1,Anderson,1883,29,Wm. P.,1/29/1883,11/25/1885,1031,Arthur,13,Cleveland1,14,0
0,Emerson,FOSTERVILLE,11,Anderson,1885,25,Jas. M.,11/25/1885,2/25/1905,7031,Cleveland1,14,Roosevelt1,19,0
0,Whitfield,FOSTERVILLE,2,Anderson,1905,25,Jerrie C.,2/25/1905,6/15/1905,110,Roosevelt1,19,Roosevelt2,20,1
0,Garrett,FRANKSTON,6,Anderson,1907,19,Dallas,6/19/1907,12/29/1914,2750,Roosevelt2,20,Wilson1,22,0
0,Ayres,FRANKSTON,12,Anderson,1914,29,Sallie M.,12/29/1914,7/21/1917,935,Wilson1,22,Wilson2,23,0
0,Gardner,FRANKSTON,7,Anderson,1917,21,Sallie M.,7/21/1917,3/2/1922,1685,Wilson2,23,Harding,24,0
0,Campbell,FRANKSTON,3,Anderson,1922,2,Edgar M.,3/2/1922,12/1/1925,1370,Harding,24,Hoover,26,0
0,Garrett,FRANKSTON,12,Anderson,1925,1,Basil L.,12/1/1925,na,na,Hoover,26,na,na,na
1,Garner,GOODSONVILLE,4,Anderson,1888,23,Geo. A.,4/23/1888,2/1/1889,284,Cleveland1,14,Cleveland1,14,0
0,Goodson,GOODSONVILLE,2,Anderson,1889,1,Jacob,2/1/1889,12/14/1893,1777,Cleveland1,14,Cleveland2,16,0
0,Heidleburg,GOODSONVILLE,12,Anderson,1893,14,Paul B.,12/14/1893,11/16/1901,2893,Cleveland2,16,Roosevelt1,19,0
1,Herrington,HANKS,5,Anderson,1894,21,Elijah,5/21/1894,8/14/1894,85,Cleveland2,16,Cleveland2,16,1
2,Fain,HENDERSONVILLE,5,Anderson,1860,21,Joel,5/21/1860,7/12/1861,417,Buchanan,5,Lincoln1,6,0
0,Fain,HENDERSONVILLE,7,Anderson,1861,12,Joel,7/12/1861,11/5/1866,1942,Lincoln1,6,Johnson,8,1
3,Wallace,HENDERSONVILLE,2,Anderson,1867,27,Wm. S.,2/27/1867,7/8/1870,1227,Johnson,8,Grant1,9,1
1,Sadler,IONI,11,Anderson,1848,30,Wm. T.,11/30/1848,4/2/1858,3410,Polk,1,Buchanan,5,1
2,Jones,IONI,6,Anderson,1858,2,August K. W.,6/2/1858,11/10/1859,526,Buchanan,5,Buchanan,5,0
0,Fuller,IONI,11,Anderson,1859,10,John B.,11/10/1859,2/10/1860,92,Buchanan,5,Buchanan,5,0
0,Miller,IONI,2,Anderson,1860,10,Matt.,2/10/1860,7/14/1860,155,Buchanan,5,Buchanan,5,0
0,Moore,IONI,7,Anderson,1860,14,Wm.,7/14/1860,1/17/1862,552,Buchanan,5,Lincoln1,6,0
0,Moore,IONI,1,Anderson,1862,17,Wm.,1/17/1862,1/23/1867,1832,Lincoln1,6,Johnson,8,1
3,Grayson,IONI,10,Anderson,1870,14,Robt. P.,10/14/1870,5/6/1878,2761,Grant1,9,Hayes,11,0
0,Howe,IONI,5,Anderson,1878,6,D.,5/6/1878,5/24/1878,18,Hayes,11,Hayes,11,0
0,Campbell,IONI,5,Anderson,1878,24,Wm. H.,5/24/1878,7/30/1885,2624,Hayes,11,Cleveland1,14,0
0,Totty,IONI,7,Anderson,1885,30,Wm.,7/30/1885,5/10/1888,1015,Cleveland1,14,Cleveland1,14,0
0,Thompson,IONI,5,Anderson,1888,10,Wm. H.,5/10/1888,3/7/1892,1397,Cleveland1,14,Harrison,15,0
0,Bush,IONI,3,Anderson,1892,7,Wm. C.,3/7/1892,5/10/1893,429,Harrison,15,Cleveland2,16,0
0,Thompson,IONI,5,Anderson,1893,10,Wm. H.,5/10/1893,8/27/1895,839,Cleveland2,16,Cleveland2,16,0
0,Bush,IONI,8,Anderson,1895,27,Jas. E.,8/27/1895,12/14/1896,475,Cleveland2,16,Cleveland2,16,0
0,Thompson,IONI,12,Anderson,1896,14,Retilla P.,12/14/1896,5/31/1900,1263,Cleveland2,16,McKinley,17,1
1,Mosley,KICKAPOO,12,Anderson,1850,16,John,12/16/1850,4/26/1852,497,Fillmore,3,Fillmore,3,1
2,Baker,KICKAPOO,6,Anderson,1852,25,David B.,6/25/1852,12/2/1853,525,Fillmore,3,Pierce,4,0
0,Miller,KICKAPOO,12,Anderson,1853,2,Wm. R.,12/2/1853,3/6/1857,1190,Pierce,4,Buchanan,5,0
0,Robinson,KICKAPOO,3,Anderson,1857,6,Asa,3/6/1857,12/31/1857,300,Buchanan,5,Buchanan,5,0
0,Henderson,KICKAPOO,12,Anderson,1857,31,Jos. D.,12/31/1857,3/16/1859,440,Buchanan,5,Buchanan,5,0
0,Rhome,KICKAPOO,3,Anderson,1859,16,Romulus J.,3/16/1859,8/6/1861,874,Buchanan,5,Lincoln1,6,0
0,Rhome,KICKAPOO,8,Anderson,1861,6,R. J.,8/6/1861,12/28/1861,144,Lincoln1,6,Lincoln1,6,0
0,Baker,KICKAPOO,12,Anderson,1861,28,D. B.,12/28/1861,3/14/1866,1537,Lincoln1,6,Johnson,8,0
0,Mosley,KICKAPOO,3,Anderson,1866,14,Isham,3/14/1866,11/15/1866,246,Johnson,8,Johnson,8,0
0,Honigsberger,KICKAPOO,11,Anderson,1866,15,Isaac,11/15/1866,12/7/1866,22,Johnson,8,Johnson,8,0
0,Buckingham,KICKAPOO,12,Anderson,1866,7,Thos. H.,12/7/1866,8/24/1869,991,Johnson,8,Grant1,9,0
0,Garland,KICKAPOO,8,Anderson,1869,24,Thos. L.,8/24/1869,1/9/1877,2695,Grant1,9,Grant2,10,0
0,Miller,KICKAPOO,1,Anderson,1877,9,Wm. R.,1/9/1877,2/20/1891,5155,Grant2,10,Harrison,15,0
0,Cook,KICKAPOO,2,Anderson,1891,20,Jas. M.,2/20/1891,5/17/1902,4103,Harrison,15,Roosevelt1,19,0
0,Freeman,KICKAPOO,5,Anderson,1902,17,Pierce,5/17/1902,2/15/1905,1005,Roosevelt1,19,Roosevelt1,19,1
1,Haygood,MAGNOLIA,11,Anderson,1851,17,Wm. A.,11/17/1851,4/15/1862,3802,Fillmore,3,Lincoln1,6,0
0,Hagwood,MAGNOLIA,4,Anderson,1862,15,Wm. A.,4/15/1862,4/24/1867,1835,Lincoln1,6,Johnson,8,1
2,Fields,MAGNOLIA,12,Anderson,1870,21,Henry,12/21/1870,10/3/1871,286,Grant1,9,Grant1,9,1
1,Thompson,MANSON,1,Anderson,1898,31,Franklin F.,1/31/1898,11/2/1898,275,McKinley,17,McKinley,17,1
1,Millican,MARLOW,4,Anderson,1902,25,Wm. A.,4/25/1902,3/31/1903,340,Roosevelt1,19,Roosevelt1,19,1
1,Anglin,MARLOW'S MILL,9,Anderson,1853,9,Wm. R.,9/9/1853,8/24/1854,349,Pierce,4,Pierce,4,1
1,Donson,MASSEY LAKE,12,Anderson,1922,20,Ben H.,12/20/1922,5/16/1925,878,Harding,24,Hoover,26,0
0,Wilson Sr.,MASSEY LAKE,5,Anderson,1925,16,Frank K.,5/16/1925,1/24/1929,1349,Hoover,26,Hoover,26,0
0,Hamilton,MASSEY LAKE,1,Anderson,1929,24,Mrs. V. R.,1/24/1929,na,na,Hoover,26,na,na,na
1,Sumatte,MITTO,5,Anderson,1858,10,Wm. M.,5/10/1858,7/12/1861,1159,Buchanan,5,Lincoln1,6,0
0,Sumatte,MITTO,7,Anderson,1861,12,Wm. M.,7/12/1861,11/5/1866,1942,Lincoln1,6,Johnson,8,1
1,Rose,MIZPAH,8,Anderson,1901,6,Anna K.,8/6/1901,12/28/1903,874,McKinley,18,Roosevelt1,19,0
0,Gray,MIZPAH,12,Anderson,1903,28,Henry S.,12/28/1903,3/31/1904,94,Roosevelt1,19,Roosevelt1,19,1
1,Gaught,MONINGTON,8,Anderson,1918,30,Louise A.,8/30/1918,5/5/1921,979,Wilson2,23,Harding,24,0
0,Johnson,MONINGTON,5,Anderson,1921,5,Houston D.,5/5/1921,4/19/1923,714,Harding,24,Harding,24,0
0,Hester,MONINGTON,4,Anderson,1923,19,Geo. G.,4/19/1923,10/15/1923,179,Harding,24,Coolidge,25,1
1,Hamlett Jr.,MONTALBA,3,Anderson,1882,20,Wm. J.,3/20/1882,1/10/1883,296,Arthur,13,Arthur,13,0
0,Hamlett,MONTALBA,1,Anderson,1883,10,Mrs. Mary E.,1/10/1883,1/4/1907,8759,Arthur,13,Roosevelt2,20,0
0,Ferguson,MONTALBA,1,Anderson,1907,4,John F.,1/4/1907,3/3/1908,424,Roosevelt2,20,Roosevelt2,20,0
0,Hendrix,MONTALBA,3,Anderson,1908,3,John G.,3/3/1908,7/15/1920,4517,Roosevelt2,20,Wilson2,23,0
0,Harris,MONTALBA,7,Anderson,1920,15,Nora,7/15/1920,12/9/1920,147,Wilson2,23,Wilson2,23,0
0,Hendrix,MONTALBA,12,Anderson,1920,9,John G.,12/9/1920,8/22/1923,986,Wilson2,23,Coolidge,25,0
0,Harris,MONTALBA,8,Anderson,1923,22,Wm. I.,8/22/1923,4/18/1924,240,Coolidge,25,Coolidge,25,0
0,Sutherlin,MONTALBA,4,Anderson,1924,18,Lona R.,4/18/1924,11/5/1931,2757,Coolidge,25,F.D.Roosevelt1,27,0
0,Auld,MONTALBA,11,Anderson,1931,5,Evelyn,11/5/1931,na,na,F.D.Roosevelt1,27,na,na,na
1,Dunn,NECHES,5,Anderson,1892,17,Thos. R.,5/17/1892,5/11/1905,4741,Harrison,15,Roosevelt2,20,0
0,Caroll,NECHES,5,Anderson,1905,11,Frank O.,5/11/1905,3/3/1910,1757,Roosevelt2,20,Taft,21,0
0,Maraman,NECHES,3,Anderson,1910,3,Edna P.,3/3/1910,12/12/1910,284,Taft,21,Taft,21,0
0,Mahaffey,NECHES,12,Anderson,1910,12,Abner D.,12/12/1910,8/14/1914,1341,Taft,21,Wilson1,22,0
0,Brown,NECHES,8,Anderson,1914,14,John F.,8/14/1914,9/30/1916,778,Wilson1,22,Wilson1,22,0
0,Daly,NECHES,9,Anderson,1916,30,Ernest L.,9/30/1916,3/11/1920,1258,Wilson1,22,Wilson2,23,0
0,Spalding,NECHES,3,Anderson,1920,11,Louis E.,3/11/1920,8/4/1922,876,Wilson2,23,Harding,24,0
0,Howe,NECHES,8,Anderson,1922,4,Ed. S.,8/4/1922,na,na,Harding,24,na,na,na
1,Shelton,PALESTINE,3,Anderson,1847,8,Chas.,3/8/1847,8/3/1848,514,Polk,1,Polk,1,0
0,McLure,PALESTINE,8,Anderson,1848,3,Alex.,8/3/1848,7/16/1853,1808,Polk,1,Pierce,4,0
0,Formwalt,PALESTINE,7,Anderson,1853,16,John A.,7/16/1853,2/28/1854,227,Pierce,4,Pierce,4,0
0,Wortham,PALESTINE,2,Anderson,1854,28,Thos. J. C.,2/28/1854,5/5/1854,66,Pierce,4,Pierce,4,0
0,Formwalt,PALESTINE,5,Anderson,1854,5,John A.,5/5/1854,12/29/1855,603,Pierce,4,Pierce,4,0
0,Bailey,PALESTINE,12,Anderson,1855,29,Eli,12/29/1855,7/12/1861,2022,Pierce,4,Lincoln1,6,0
0,Bailey,PALESTINE,7,Anderson,1861,12,Eli,7/12/1861,12/23/1865,1625,Lincoln1,6,Johnson,8,0
0,Tunstall,PALESTINE,12,Anderson,1865,23,Wm. V.,12/23/1865,8/5/1868,956,Johnson,8,Johnson,8,0
0,Cuthbertson,PALESTINE,8,Anderson,1868,5,Thos.,8/5/1868,12/15/1869,497,Johnson,8,Grant1,9,0
0,Hunt,PALESTINE,12,Anderson,1869,15,Albert F.,12/15/1869,5/9/1870,145,Grant1,9,Grant1,9,0
0,Mead,PALESTINE,5,Anderson,1870,9,Jas. H.,5/9/1870,3/3/1871,298,Grant1,9,Grant1,9,0
0,Butler,PALESTINE,3,Anderson,1871,3,Thos. M.,3/3/1871,6/20/1871,109,Grant1,9,Grant1,9,0
0,Kelly,PALESTINE,6,Anderson,1871,20,Geo. D.,6/20/1871,10/21/1872,489,Grant1,9,Grant1,9,0
0,Pells,PALESTINE,10,Anderson,1872,21,Jos. F.,10/21/1872,2/15/1886,4865,Grant1,9,Cleveland1,14,0
0,Ferguson,PALESTINE,2,Anderson,1886,15,Alex.,2/15/1886,1/16/1890,1431,Cleveland1,14,Harrison,15,0
0,Dilley,PALESTINE,1,Anderson,1890,16,Geo. E.,1/16/1890,2/16/1894,1492,Harrison,15,Cleveland2,16,0
0,McReynolds,PALESTINE,2,Anderson,1894,16,Z. A.,2/16/1894,5/10/1898,1544,Cleveland2,16,McKinley,17,0
0,Hall,PALESTINE,5,Anderson,1898,10,Thos.,5/10/1898,2/21/1907,3208,McKinley,17,Roosevelt2,20,0
0,Burkitt Jr.,PALESTINE,2,Anderson,1907,21,Geo. W.,2/21/1907,7/3/1913,2324,Roosevelt2,20,Wilson1,22,0
